source,page_type,title,material_text,material_url,material_date
https://january6th.house.gov/report-executive-summary,direct,Introductory Material to the Final Report of the Select Committee,Introductory Material to the Final Report of the Select Committee,https://january6th.house.gov/sites/democrats.january6th.house.gov/files/Introductory%20Material%20to%20the%20Final%20Report%20of%20the%20Select%20Committee2.pdf,
https://january6th.house.gov/,direct,Final Report of Select Committee to Investigate the January 6th Attack on the United States Capitol,Final Report of Select Committee to Investigate the January 6th Attack on the United States Capitol,https://january6th.house.gov/sites/democrats.january6th.house.gov/files/Report_FinalReport_Jan6SelectCommittee.pdf,2022-12-22
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Ivanka Trump,Ivanka Trump,https://s3.documentcloud.org/documents/23531920/20220405_ivanka-trump.pdf,2022-04-05
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Julie Radford,Julie Radford,https://s3.documentcloud.org/documents/23531943/20220524_julie-t-radford.pdf,2022-05-24
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Chad Wolf,Chad Wolf,https://s3.documentcloud.org/documents/23531961/20220121_chad-f-wolf.pdf,2022-01-21
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Ken Klukowski (Part 1),Ken Klukowski (Part 1),https://s3.documentcloud.org/documents/23531987/20211215_kenneth-klukowski-1.pdf,2021-12-15
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Ken Klukowski (Part 2),Ken Klukowski (Part 2),https://s3.documentcloud.org/documents/23511110/20220610_kenneth-klukowski.pdf,2022-06-10
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Benjamin Williamson,Benjamin Williamson,https://s3.documentcloud.org/documents/23532015/20220125_ben-williamson.pdf,2022-01-25
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Frank J. Scavo III,Frank J. Scavo III,https://s3.documentcloud.org/documents/23532435/20220601_frank-j-scavo-iii.pdf,2022-06-01
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Francis Connor,Francis Connor,https://s3.documentcloud.org/documents/23532458/20220707_francis-connor_0.pdf,2022-07-07
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony George Amos Tenney,George Amos Tenney,https://s3.documentcloud.org/documents/23532485/20220713_george-amos-tenney-iii.pdf,2022-07-13
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Landon Bentley,Landon Bentley,https://s3.documentcloud.org/documents/23532545/20220512_landon-bentley.pdf,2022-05-12
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Nicholas DeCarlo,Nicholas DeCarlo,https://s3.documentcloud.org/documents/23532572/20221004_nicholas-decarlo.pdf,2022-10-04
https://www.lawfareblog.com/jan-6-select-committee-documents,supplemental-offsite,Witness testimony Duston Thompson,Duston Thompson,https://s3.documentcloud.org/documents/23532594/20221116_dustin-byron-thompson.pdf,2022-11-06
